"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita"
"471",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152709858441623,0,0,0,0,0,0.0138572214723362,0,0
"472",0,0,0.00333535720365019,0.000135656469620686,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,4.82872426431199,0,0,0,0,0,0,0,0,0,0,0,0.00152709858441623,0.00299896172528817,0,0,0,0,0,0,0
"473",0.00191351323437161,0,0,0,0,0,0.00125965105212044,0,0.0796670849165619,0,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152709858441623,0,0,0,0,0,0,0,0
"474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299896172528817,0,0,0,0,0,0,0
"475",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"476",0,0,0,0,0.00186201288806346,0,0.00125965105212044,0,0,0,0,0,0,0,0,0.00193458213876835,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0.0252868446427148,0.00152709858441623,0,0,0,0,0,0,0,0
"477",0,0,0.00333535720365019,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152709858441623,0,0.003905381281519,0,0,0,0,0,0
"478",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0.0084996303187488,0,0,0,0.00193458213876835,0,0,0,0.000714961579433708,0,0,0,0,0,0,0,0,0,0.00152709858441623,0,0,0,0,0,0,0,0
"480",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"482",0.00191351323437161,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
"483",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"485",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0.000469173685525591,0.000137901754451772
"487",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
"488",0,0,0,0.000135656469620686,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0.000621592914516298,0,0,0.00152709858441623,0,0,0,0,0,0,0,0.000137901754451772
"489",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0,0,0.0252868446427148,0,0,0,0,0,0,0,0,0.000137901754451772
"490",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
"493",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0.000714961579433708,0,0.33217349386771,0,0,0,0,0,0,0,0,0,0.003905381281519,0,0,0,0.0138572214723362,0,0
"494",0,0,0,0,0,0,0.00125965105212044,0.00898656396789636,0,0,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0.0158793363758279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495",0,0,0,0,0,0,0.00125965105212044,0,0,0,0.00225565417200724,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0.000714961579433708,0,0,0,0,0,0,0.000621592914516298,0,0,0.00152709858441623,0,0,0,0,0,0,0,0
"496",0,0,0,0.000135656469620686,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137901754451772
"497",0,0.000663191715829472,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0.0226065145050482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137901754451772
"501",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252868446427148,0,0,0,0,0,0,0,0,0
"502",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0.00193458213876835,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
"503",0.00191351323437161,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299896172528817,0,0,0,0,0,0,0
"505",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
"506",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"507",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299896172528817,0,0,0,0,0,0,0
"509",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
